No;Date;Open;High;Low;Close;Volume;;;
601;May 22, 2023;1.972,40;1.972,40;1.972,40;1.972,40;1,00;;;
602;May 23, 2023;1.975,40;1.975,40;1.962,80;1.962,80;189,00;;;
603;May 24, 2023;1.943,10;1.943,10;1.943,10;1.943,10;1,00;;;
604;May 25, 2023;1.948,20;1.948,40;1.944,10;1.944,10;166.036,00;;;
605;May 29, 2023;1.942,70;1.962,60;1.931,00;1.958,00;37.838,00;;;
606;May 30, 2023;1.958,20;1.973,00;1.953,00;1.963,90;5.959,00;;;
607;May 31, 2023;1.963,20;1.983,00;1.954,30;1.978,00;750,00;;;
608;Jun 01, 2023;1.977,10;1.982,50;1.947,40;1.952,40;356,00;;;
609;Jun 04, 2023;1.947,50;1.961,90;1.937,80;1.958,00;713,00;;;
610;Jun 05, 2023;1.960,80;1.965,50;1.958,80;1.965,50;164,00;;;
611;Jun 06, 2023;1.959,00;1.968,40;1.940,70;1.942,70;139,00;;;
612;Jun 07, 2023;1.943,20;1.969,00;1.943,10;1.963,60;433,00;;;
613;Jun 08, 2023;1.965,10;1.969,80;1.960,30;1.962,20;49,00;;;
614;Jun 11, 2023;1.959,70;1.963,50;1.951,40;1.955,30;212,00;;;
615;Jun 12, 2023;1.960,60;1.967,50;1.940,30;1.944,60;343,00;;;
616;Jun 13, 2023;1.946,20;1.958,20;1.940,30;1.955,30;202,00;;;
617;Jun 14, 2023;1.941,70;1.958,80;1.926,00;1.957,80;329,00;;;
618;Jun 15, 2023;1.961,40;1.962,90;1.953,50;1.958,40;119,00;;;
619;Jun 19, 2023;1.958,60;1.958,60;1.931,30;1.935,50;193,00;;;
620;Jun 20, 2023;1.935,60;1.936,80;1.920,00;1.933,30;557,00;;;
621;Jun 21, 2023;1.920,00;1.921,00;1.912,10;1.912,70;237,00;;;
622;Jun 22, 2023;1.918,70;1.932,50;1.918,70;1.919,10;105,00;;;
623;Jun 25, 2023;1.922,90;1.928,50;1.922,50;1.923,70;71,00;;;
624;Jun 26, 2023;1.927,00;1.929,40;1.914,00;1.914,00;49,00;;;
625;Jun 27, 2023;1.912,30;1.912,30;1.912,30;1.912,30;628,00;;;
626;Jun 28, 2023;1.909,90;1.909,90;1.892,50;1.909,20;289,00;;;
627;Jun 29, 2023;1.908,60;1.921,10;1.900,60;1.921,10;445,00;;;
628;Jul 03, 2023;1.917,90;1.929,50;1.917,90;1.921,70;41,00;;;
629;Jul 04, 2023;1.923,50;1.933,90;1.914,70;1.919,60;193,00;;;
630;Jul 05, 2023;1.909,30;1.910,20;1.903,20;1.908,70;81,00;;;
631;Jul 06, 2023;1.913,40;1.934,10;1.913,40;1.926,20;61,00;;;
632;Jul 09, 2023;1.923,60;1.926,10;1.912,30;1.925,00;269,00;;;
633;Jul 10, 2023;1.925,00;1.937,00;1.924,20;1.931,30;142,00;;;
634;Jul 11, 2023;1.932,30;1.958,00;1.932,20;1.956,20;132,00;;;
635;Jul 12, 2023;1.961,10;1.961,10;1.953,00;1.959,20;121,00;;;
636;Jul 13, 2023;1.958,40;1.960,60;1.952,70;1.960,10;94,00;;;
